Factorisations Of Cunningham/Mersenne Numbers C-(2,n) = M(n) = 2^n - 1

This file is the first 512 entries from:
http://members.iinet.net.au/~tmorrow/mathematics/cunningham/c02minus.txt
Escaped line breaks have been removed: :%s/\\\n *// and :%s/\.\n */./

Canonical Representation Of Factorisations

1. Factorisations are given from smallest to largest factor, with a period '.'
   separating factors.2. Multiplicity of factors is indicated with the carat '^' in ascii tradition
   for the text version of the tables but not the HTML version.3. The backslash '\' is used to indicate continuation of a line, the decimal
   digit representation of the number does not stop but continues on the next
   line as if no break had occured. This can sometimes make for bad breaks, but
   such is life.
Notation Used In The Tables

1. #Fac is the number of (non distinct) prime factors in an expression.2. A plussed #Fac means that more prime factors exist but they are unknown due
   to an unfactored composite in the expression.
========================================================================================================================

   n  #Fac  Factorisation
 368    15  3.5.17.47.257.277.1013.1657.30269.178481.2796203.43717618369.549675408461419937.3970299567472902879791777.291280009243618888211558641
 369     8  7.73.13367.3887047.164511353.6376386802464073.177722253954175633.242930150369581725249341464475421249205592384370695685937
 370    12  3.11.31.223.1481.1777.25781083.28136651.616318177.1587855697992791.7248808599285760001152755641.778429365397887608540618330873281
 371     9  127.743.2969.6361.69431.20394401.63781899287.204712366597949333831.145980337155634444285232523876979318451464756266456641329
 372    17  3^2.5.7.13.373.5581.8681.49477.384773.529510939.715827883.2147483647.2903110321.951088215727633.658812288653553079.4611545283086450689
 373     2  25569151.752440346497356983142327449546457327748644897934114291899411428982990336039662496766303354959577078458241
 374     9  3.23.89.683.43691.131071.707983.1032670816743843860998850056278950666491537.2191165825376888084750157716424579062015865776131
 375    11  7.31.151.601.751.1801.100801.10567201.269089806001.4710883168879506001.2139731020464054092520609592459940706818275139793055476751
 376    15  3.5.17.283.2351.3761.4513.13264529.1198107457.7484047069.23592342593.165768537521.140737471578113.4501946625921233.181352306852476069537
 377     8  233.1103.2089.5279.8191.148055441.359661017.249018815918315199700031851161772880156221637084521986234342836024160025575777017
 378    23  3^4.7^2.19.43.73.127.337.379.5419.87211.92737.119827.262657.649657.1560007.77158673929.127391413339.56202143607667.207617485544258392970753527
 379     2  180818808679.6809649408891001685768937590233308625949604176033855796938978177320539702698633946720428389517879894953
 380    20  3.5^2.11.31.41.191.229.457.761.2281.54721.174763.524287.525313.420778751.30327152671.276696631250953741.2416923620660807201.3011347479614249131
 381     6  7.2287.15241.349759.170141183460469231731687303715884105727.339212878596211796110770323541353281494127285320354524672773903
 382     7  3.383.7068569257.39940132241.332584516519201.87274497124602996457.1046183622564446793972631570534611069350392574077339085483
 383     5  1440847.7435494593.503823044204581129045587727.15174923558680812616818436353130417.240522700235167893496900256599634325263
 384    20  3^2.5.7.13.17.97.193.241.257.641.673.769.65537.274177.6700417.22253377.67280421310721.18446744069414584321.442499826945303593556473164314770689
 385    13  23.31.71.89.127.881.3191.55441.122921.201961.1971764055031.581283643249112959.31055341681190444478126719755965134571151473925765532041
 386     9  3.6563.13821503.35679139.1871670769.7455099975844049.1280761337388845898643.61654440233248340616559.14732265321145317331353282383
 387    10  7.73.431.9719.2099863.11492353.22763003975641.6834040335349578249140287.11053036065049294753459639.3548950581098263559084652467359
 388    16  3.5.389.971.1553.3881.4657.5821.11447.31817.3555339061.4959325597.394563864677.17637260034881.1100876018364883721.13842607235828485645766393
 389     3  56478911.4765678679.4684435266636161232578932847604331726884269415306219621279642876954933236537677535849040755779223719
 390    19  3^2.7.11.31.79.131.151.331.2731.8191.107251.121369.409891.7623851.22366891.145295143558111.571403921126076957182161.134304196845099262572814573351
 391     6  47.37537.131071.178481.25806248225716242845491832244899635927231330561.4735299062751047834629348947476766642710028552319600543
 392    19  3.5.17.29.43.113.127.197.7057.273617.1007441.15790321.375327457.19707683773.1405628248417.4363953127297.4432676798593.4981857697937.364565561997841
 393     7  7.263.36093121.51118297.58352641.10350794431055162386718619237468234569.9833304614455302578430964280893955512223415028355534287
 394     6  3.7487.197002597249.1348959352853811313.251951573867253012259144010843.26828803997912886929710867041891989490486893845712448833
 395     8  31.2687.12641.202029703.5435488351.16203007441.1113491139767.3868132159624916546905272573063237265865977199403213448652782202624081
 396    29  3^3.5.7.13.19.23.37.67.73.89.109.199.397.683.2113.5347.20857.42373.153649.235621.312709.599479.4327489.33057806959.8463901912489.15975607282273.242099935645987
 397     9  2383.6353.50023.53993.202471.5877983.814132872808522587940886856743.1234904213576000272542841146073.6597485910270326519900042655193
 398     4  3.164504919713.4884164093883941177660049098586324302977543600799.267823007376498379256993682056860433753700498963798805883563
 399    11  7^2.127.337.32377.73417.83791.524287.1212847.163537220852725398851434325720959.29724614739876344125010817433703775877960388838436140673
 400    26  3.5^3.11.17.31.41.101.251.257.401.601.1601.1801.4051.8101.25601.61681.268501.340801.2787601.82471201.3173389601.4278255361.432363203127002885506543172618401
 401     4  856971565399.2136958965524920285681.594538100848945223169882301931953.4743358775443804666040010704534780418840545962266329593
 402    14  3^2.7.1609.2011.9649.22111.6324667.7327657.193707721.761838257287.6713103182899.59151549118532676874448563.87449423397425857942678833145441
 403     5  8191.45137.2147483647.8532838289.3049265608323207033354525040420863372400727272926604181336315082400000135598108701713853477087
 404    10  3.5.809.9491060093.5218735279937.7432339208719.600503817460697.341117531003194129.53425037363873248657.845100400152152934331135470251
 405    16  7.31.73.151.271.631.2593.23311.71119.262657.348031.537841.97685839.49971617830801.11096527935003481.17645665556213400107370602081155737281406841
 406    14  3.43.59.127.233.1103.2089.136417.3033169.121793911.596834617.3692022713.252715814615565962418688965855731.11348055580883272011090856053175361113
 407     8  23.89.223.3257.616318177.3068001817.1826375940722234754636475033.64374964789425759023795123420605218308370931223311543823123770088423
 408    29  3^2.5.7.13.17^2.103.137.241.307.409.953.2143.2857.3061.6529.8161.11119.13669.26317.43691.131071.354689.40932193.1326700741.1467129352609.2879347902817.737539985835313
 409     3  4480666067023.76025626689833.3881196575913244673719425770871246487895686937951690944453838586764072695131586617955811936945129
 410    11  3.11.31.83.13367.2940521.164511353.8831418697.70171342151.3655725065508797181674078959681.2125820563389437533390243893834597846757304863651
 411     7  7.823.27261904199932321.32032215596496435569.5439042183600204290159.647923469936355993348337.298291609560028759691116319707152042481
 412    11  3.5.41201.17325013.520379897.2550183799.415141630193.473000157711296729.8142767081771726171.3976656429941438590393.117070097457656623005977
 413     6  127.179951.2006647231.3203431780337.6774027833473375976915021445395839.21256743751927370220630952377105576570016395501658460697868351
 414    17  3^3.7.19.47.73.139.79903.178481.2796203.634569679.168749965921.2232578641663.10052678938039.42166482463639.6113142872404227834840443898241613032969
 415     8  31.167.470933694191.3028917598961.130666175908831.57912614113275649087721.32367218471375835379289471.46782247616476922972329742136208001
 416    18  3.5.17.53.157.257.1613.2731.8191.65537.858001.928513.308761441.18558466369.23877647873.21316654212673.715668470267111297.78919881726271091143763623681
 417     5  7.5625767248687.7606017793609.123876132205208335762278423601.9121860314802631535729338714627536721870308627534265066967795115502591
 418    12  3.23.89.419.683.174763.524287.94803416684681.1512348937147247.3410623284654639440707.5346950541323960232319657.1607792018780394024095514317003
 419     5  839.903780021613921.5800422716722833271214743.10287968884341772230096159036619433593.29919490848598531825060153417921002916701815927
 420    37  3^2.5^2.7^2.11.13.29.31.41.43.61.71.113.127.151.211.281.331.337.421.1321.1429.5419.14449.29191.86171.106681.122921.152041.664441.1564921.7416361.47392381.146919792181.1041815865690181
 421     2  614002928307599.8819779591697258388298117725624832271141577326602771028307143781815455970700534027206522451123308835472505327249
 422     9  3.4643.15193.9878177.5344743097.199061567251.60272956433838849161.22481127512575175864234185190299.3593875704495823757388199894268773153439
 423     9  7.73.2351.4513.13264529.4375578271.646675035253258729.1617189999730415801728461273583.65822575300775658772854198368766558032903129506601623
 424    14  3.5.17.107.6361.69431.15358129.20394401.586477649.1692645313.28059810762433.1801439824104653.10920513604018498900801.20946001591429012199281424246257
 425     6  31.601.1801.131071.9520972806333758431.2069237502716464794985816105550982396339012259800336045348830659287429006970383760001800897298401
 426    15  3^2.7.5113.17467.66457.102241.228479.48544121.56409643.212885833.13952598148481.2849881972114740679.4205268574191396793.203525545766301306933226271929
 427     4  127.33282089.2305843009213693951.35560193412972319062061768261639727517478499914167548496031688280584977077562191671059223282469465959
 428    10  3.5.643.857.843589.8174912477117.23528569104401.37866809061660057264219253397.84115747449047881488635567801.162259276829213363391578010288127
 429    13  7.23.79.89.8191.121369.599479.724153.17286204937.158822951431.5782172113400990737.1065107717756542892882802586807.167833515549285827885461382441449
 430    13  3.11.31.431.1721.9719.2099863.9084611.731516431.514851898711.2932031007403.297927289744047764444862191.59904608378705661377430182608711698924130721
 431     8  863.3449.36238481.76859369.558062249.4642152737.142850312799017452169.1807482391092819529831423005040763105191863029850140579776353298087457
 432    29  3^4.5.7.13.17.19.37.73.97.109.241.257.433.577.673.38737.87211.246241.262657.279073.33975937.209924353.4261383649.487824887233.138991501037953.24929060818265360451708193
 433     4  22086765417396827057.737748363812546584876297.5028667832511715101284999.270704078857734344240200528055897595961633472511075822112527121
 434    11  3.43.127.5209.62497.16233337.715827883.2147483647.6268703933840364033151.378428804431424484082633.140508608590164280225934233098866842745808905947
 435    11  7.31.151.233.1103.2089.4177.9857737155463.256582225885581001782477601.2679895157783862814690027494144991.178137551056208627463817592059032323866951
 436    11  3.5.5669.104124649.666184021.745988807.74323515777853.1746518852140345553.171857646012809566969.870035986098720987332873.2077756847362348863128179
 437     7  47.178481.524287.3198841.5579617.6203145044672921.728853407707467208421993458966504139019157860437186335406130262344738292438484569798131887
 438    13  3^2.7.439.1753.3943.2298041.9361973132609.9070197542196643.671165898617413417.1795918038741070627.4815314615204347717321.3278244690156222434135906137
 439     4  104110607.127321491658223.122551752733003055543.873880146833642190373525520936770796845382029997855219402285283144955696825577908510162169
 440    28  3.5^2.11^2.17.23.31.41.89.353.397.683.881.2113.2971.3191.61681.109121.148721.201961.48912491.2931542417.3404676001.415878438361.3630105520141.11035465708081.2546717317681681
 441    15  7^3.73.127.337.92737.126127.309583.649657.5828257.4432676798593.2741672362528725535068727.4487533753346305838985313.7086423574853972147970086088434689
 442    10  3.443.1327.2731.8191.43691.131071.4714692062809.4507513575406446515845401458366741487526913.2365454398418399772605086209214363458552839866247069233
 443     3  887.207818990653657.123219439267346362049744425289349676468781136823956005602631224069302162695430546376768705960936201429580820215522273
 444    23  3^2.5.7.13.149.223.593.1777.3109.3331.17539.321679.25781083.26295457.184481113.231769777.319020217.616318177.1398316729.4345052821.107775231312019.1453030298001690873541
 445     5  31.2671.618970019642690137449562111.1460384540571001412284141831845453026637206635511.1213879697009617667840625625239307278583085260903037111
 446     9  3.18287.196687.1466449.2916841.219256122131.1469495262398780123809.596242599987116128415063.20493495920905043950407650450918171260318303154708405513
 447     4  7.86656268566282183151.8235109336690846723986161.72751284869088788795301631728906362894695299875729701287430721838248329952225963533888951
 448    20  3.5.17.29.43.113.127.257.449.641.2689.5153.65537.6700417.15790321.183076097.54410972897.358429848460993.167773885276849215533569.37414057161322375957408148834323969
 449     5  1256303.6871197486841.3578620616468306981503.526385733768051189441947168504909159.89396693392545895668303801721053258296972567022618106513441
 450    26  3^3.7.11.19.31.73.151.251.331.601.631.1801.4051.23311.100801.115201.617401.10567201.18837001.1348206751.4714696801.1133836730401.13861369826299351.281941472953710177758647201
 451     9  23.89.13367.18041.216481.164511353.9718704501529.538939720215834697.63146810207339718162566404988206179064461273050603002917638397126970137660970487
 452    15  3.5.227.3391.23279.48817.58309.65993.1868569.2362153.636190001.1066818132868207.491003369344660409.15079116213901326178369.10384593717069655112945804582584321
 453     8  7.18121.55871.165799.2332951.790468905817.7289088383388253664437433.1472569697984933610350093844623116623743774608299938377008397129155903438335887
 454     6  3.297371.26986333437777017.3454631579714210387.69982170658265444713117545258712031103399659.7992177738205979626491506950867720953545660121688631
 455    11  31.71.127.911.8191.122921.200201.112901153.23140471537.145295143558111.4774797453608343803270988984332214098351782527747577456028391624903856636676854631
 456    25  3^2.5.7.13.17.229.241.457.571.1217.32377.90289.131101.148961.160969.174763.524287.525313.1212847.160465489.9036489073.275415303169.24517014940753.29034057164920993379000074993
 457     2  150327409.2475539419689929784935319344449409898291165097323714578650943035813830300993611462717419801770460539016610145009605554380104535919
 458     7  3.1504073.18754643.20492753.59833457464970183.467795120187583723534280000348743236593.15333417141003794339164342447265426158851946182451963484372297
 459    12  7.73.103.919.2143.11119.131071.262657.407770693450231393.24418671951944649151.75582488424179347083438319.49848448234572624009465371493197779785120970152607
 460    25  3.5^2.11.31.41.47.277.461.691.1013.1657.5981.14951.30269.178481.2796203.4036961.15096281.1021622741.1884103651.7834788541.345767385170491.2646507710984041.359006912765190408181
 461     4  2767.358228856441770927.7099353734763245383.846134609236527432935428641453947808692744612842997575850108349114305165850593069285923876628410633
 462    22  3^2.7^2.23.43.67.89.127.337.463.617.683.5419.14323.20857.78233.599479.35532364099.581283643249112959.70180796165277040349245703851057.4982397651178256151338302204762057
 463     6  11113.3407681.448747600991881.239932071009857681156251129.385606580062688087218266143.15148264043785111348665069495360623752616947973471649653354617
 464    18  3.5.17.59.233.257.929.1103.2089.5569.8353.59393.3033169.39594977.107367629.536903681.82280195167144119832390568177.15694604006012505869851221169365594050637743819041
 465    14  7.31^2.151.311.2791.11471.73471.103231.2147483647.4649919401.18158209813151.658812288653553079.10396616065733554034660553056477704365402928208212077833242118911
 466     8  3.467.1399.27961.135607.622577.116868129879077600270344856324766260085066532853492178431.352369374013660139472574531568890678155040563007620742839120913
 467     3  121606801.1148984537885906196977362003686090739460725564747973734847.2727318928892040009397199815225412029789790574177544409019502626344207905841
 468    33  3^3.5.7.13^2.19.37.53.73.79.109.157.313.937.1249.1613.2731.3121.6553.7489.8191.21061.21841.86113.121369.348661.22366891.7830118297.1112388285061.370244405487013669.5302306226370307681801
 469     6  127.193707721.761838257287.70321958644800017.1839633098314450447.628683935022908831926019116410056880219316806841500141982334538232031397827230330241
 470    14  3.11.31.283.2351.4513.13264529.2391314881.72296287361.165768537521.328006342451.461797907949997211.235457374510092115086834691.73202300395158005845473537146974751
 471     6  7.852133201.60726444167.1654058017289.2134387368610417.4767828205180602862488887736985607398666751166000769605012698283856806259916006281652253453751
 472    19  3.5.17.1181.1889.2833.3541.11329.37171.84961.157649.174877.179951.5521693.765373489.1824726041.104399276341.3203431780337.4667813439458532797392797231517680422795032583489
 473    10  23.89.431.9719.2099863.12853303.133139883512681.4193551379485561391.1703616691469833244854254847.110790754439643451011977643288649104711084253377796092209089
 474    14  3^2.7.1423.2687.49297.647011.13664473.202029703.1113491139767.23728823512345609279.31357373417090093431.201487636602438195784363.13775694692898492184744709216599873
 475    12  31.191.601.1801.4751.524287.18020551.420778751.30327152671.1369738735713888876695951.113709467433878120743807151.170617159758027087771086981194610206694353113401
 476    23  3.5.29.43.113.127.137.239.953.2381.9521.20231.26317.42841.43691.131071.823481.823679683.62983048367.131105292137.536296539263941.143162553165560959297.18292898984156916156396101
 477    13  7.73.6361.6679.69431.94447.4879711.13960201.20394401.242003089.540701761.229890275929.65586217086670450494078662927314573302495970658410743708933357885437868217
 478    10  3.479.1913.5737.176383.340337.134000609.32605142983704221670173899.26537037220992112785174856161239437662001.7110008717824458123105014279253754096863768062879
 479     4  33385343.6293443049.683481445118041278287416124073722711169070307627777892361.10869186607773319558730501484452015470992764113369214593828236615596881
 480    30  3^2.5^2.7.11.13.17.31.41.61.97.151.193.241.257.331.673.1321.23041.61681.65537.414721.22253377.394783681.4278255361.4562284561.46908728641.44479210368001.14768784307009061644318236958041601
 481     6  223.8191.616318177.138724733805016586033.5800976318060644948970424014255729.6891696701907972189990423390011944079746042979076780671011284119842734575263
 482     7  3.2411.22000409.10411181203.15059828108442641.3115949925222900514664736941746248477210667.160619474372352289412737508720216839225805656328990879953332340439
 483    16  7^2.47.127.337.967.1289.178481.3188767.18423553.172384633.45076044553.10052678938039.14808607715315782481.1186694555374004016103.14122560700459482493165563202458351462799
 484    15  3.5.23.89.397.683.727.2113.3389.91961.117371.4036962584010807014809213.11054184582797800455736061107.1786393878363164227858270210279.1339272539833668386958920468400193
 485     7  31.11447.10084875238121.13842607235828485645766393.34224064338126003049783351.6424414731245950286450458211761.9171512050413471978823535677986962353938006401
 486    25  3^6.7.19.73.163.487.1459.2593.71119.87211.135433.139483.262657.97685839.272010961.16753783618801.192971705688577.3712990163251158343.10429407431911334611.918125051602568899753
 487     2  4871.82033219963138371097689272308258116841679442057301643873942124991182012434598644913857356023840478815121709542915222280972560231358838127531337
 488    14  3.5.17.733.977.1709.3456749.37831175201.368140581013.667055378149.768614336404564651.2305843009213693951.4889940029309876547089.9200725871078697500072796227876997617
 489    11  7.150287.704161.836191.110211473.355307401.27669118297.116539854237679.36230454570129675721.619079222361672204943.911066556314339913468351173796888655666135594657
 490    16  3.11.31.43.71.127.281.491.1471.86171.122921.4363953127297.4432676798593.15162868758218274451.50647282035796125885000330641.252359902034571016856214298851708529738525821631
 491     7  983.7707719.110097436327057.6976447052525718623.19970905118623195851890562673.3717542676439779473786876643915388439.14797326616665978116353515926860025681383
 492    22  3^2.5.7.13.83.739.2953.10169.13367.165313.181549.3887047.12112549.43249589.164511353.802333429.8831418697.6027043735173469.13194317913029593.177722253954175633.125965976976392564317
 493     7  233.1103.2089.131071.3616649.10353001.9705965830054591736524329221017810064201521004178349356202268282852670198911141357299732185324536769414538999508070197039
 494    13  3.2731.8191.15809.174763.207481.524287.10049443.355011619.6459570124697.402004106269663.1282816117617265060453496956212169.213379941663827592701819558102368170760508803
 495    19  7.23.31.73.89.151.199.631.881.991.3191.23311.153649.201961.599479.33057806959.2048568835297380486760231.334202934764737951438594746151.6084777159537635796550536863741698483921
 496    15  3.5.17.257.5581.8681.8929.49477.290657.384773.715827883.2147483647.3770202641.1141629180401976895873.197107422273014301919781414466039325387889623676342705850752210599969
 497     7  127.6959.228479.48544121.212885833.254461617383.770557961761093801278718793937377574043943382342011514028393021874470913652376022233958616983382625535943227047
 498    14  3^2.7.167.499.1163.2657.155377.1621324657.13455809771.9202419446683.57912614113275649087721.3388098290567587377052016525627948593.8241594690167137359552274418432855740327
 499     3  20959.1998447222711143545931606352264121.39075504626391841678304934944805852280404731716385642050296152320994438836806257083337312828162589099799400566633
 500    25  3.5^4.11.31.41.101.251.601.1801.4051.7001.8101.28001.96001.268501.3775501.229668251.269089806001.4710883168879506001.47970133603445383501.94291866932171243501.5519485418336288303251
 501     5  7.2349023.25129004796912072003423103.79638304766856507377778616296087448490695649.198950585925702911694795949136325395391616590334589163147577781735447402953
 502     8  3.503.54217.238451.178230287214063289511.61676882198695257501367.12070396178249893039969681.5058345723951854688505665428846313806490903121677364358901199128608233
 503     4  3213684984979279.12158987054135300783.1873030665061080894263.357801561527383951750371336247776228772287580084037416747290336593974702826921943012497755232377
 504    36  3^3.5.7^2.13.17.19.29.37.43.73.109.113.127.241.337.433.1009.1429.3361.5419.14449.21169.38737.92737.649657.2627857.15790321.269389009.40388473189.77158673929.88959882481.118750098349.1475204679190128571777
 505     5  31.7432339208719.341117531003194129.1906785849099933631.698963720154843264243253784220387078257259218502563908013880224534654264461065235983821688087336215521
 506    16  3.23^2.47.89.683.4049.85009.178481.2796203.31797547.4103188409.81776791273.199957736328435366769577.44667711762797798403039426178361.2822551529460330847604262086149015242689
 507     8  7.79.4057.8191.121369.6740339310641.3340762283952395329506327023033.8342680841093063014359532631803433656669591074421858694040109486076573471951766107416262860801
 508    12  3.5.509.18797.26417.72118729.140385293.2792688414613.8988357880501.90133566917913517709497.56713727820156410577229101238628035243.170141183460469231731687303715884105727
 509     4  12619129.19089479845124902223.647125715643884876759057.10751168288022146026259956092344345159681167846281852853736470411971627982051345994439553634116438524169
 510    23  3^2.7.11.31.103.151.307.331.2143.2857.6529.11119.12241.43691.106591.131071.949111.418562986357561.9520972806333758431.26831423036065352611.51366149455494753931.5702451577639775545838643151
 511     7  127.439.2298041.15212471.9361973132609.144780974187086260903935034761413745643636578290924150417.2537599745025519134156761164267591913521835535529224725592538658153
 512    13  3.5.17.257.641.65537.274177.6700417.67280421310721.1238926361552897.59649589127497217.5704689200685129054721.93461639715357977769163558199606896584051237541638188580280321
